Tag	en	it	de	nl	fi	br	pl	da	tr	fr	es	sl
Tag_NationId	0	94	73	133	68	28	149	54	190	69	170	166
16-Bit	16-Bit	16-Bit	16-Bit	16-Bit	16-Bit	16-Bit	16-Bit	16-bit	16-Bit	16-Bit	16-bit	16-bitno
24-Bit	24-Bit	24-Bit	24-Bit	24-Bit	24-Bit	24-Bit	24-Bit	24-Bit	24-Bit	24-Bit	24-Bit	24-bitno
2D	2D	2D	2D	2D	2D	2D	2D	2D	2D	2D	2D	2D
32-Bit	32-Bit	32-Bit	32-Bit	32-Bit	32-Bit	32-Bit	32-Bit	32-bit	32-Bit	32-Bit	32-bit	32-bitno
3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D
Accelerate	Accelerate	Accelera	Beschleunigen	Versnelling	Kiihdytä	Acelerar	Przyspiesz	Accelererer	Hizlan	Accélérer	Acelerar	Pospeši
Acceleration	Acceleration	Accelerazione	Beschleunigung	Versnelling	Kiihdytys	Aceleração	Przyspieszenie	Acceleration	Hizlanma	Accélération	Aceleración	Pospešek
Accept	Accept	Accetta	Akzeptieren	Aanvaarden	Hyväksy	Aceitar	Akceptuj	Accepter	Kabul Et	Accepter	Aceptar	Izberi
All Time	All Time	Tutti Tempi	Gesamt	Alle tijd	Koko aika	Geral	Łączny czas	I alt	Tüm Zamanlar	All Time	All Time	Skupaj
Amount	Amount	Ammontare	Betrag	Bedrag	Määrä	Quantidade	Kwota	Mængde	Miktar	Montant	Cantidad	Znesek
Apartment	Apartment	Appartamento	Apartment	Appartement	Asunto	Flat	Mieszkanie	Lejlighed	Apartman	Appartement	Apartamento	Stanovanje
April	April	aprile	April	april	Huhitkuu	Abril	Kwiecień	April	Nisan	Avril	Abril	april
August	August	agosto	August	augustus	elokuu	Agosto	Sierpień	August	Agustos	Août	Agosto	avgust
Beach House	Beach House	Casa al Mare	Strandhaus	Huis aan zee	Rantatalo	Casa de Praia	Domek na plaży	Strandhus	Plaj Evi	Maison à la plage	Casa de Playa	Hiša na plaži
